No se encuentra la base de datos indicada.﻿0
Fecha|Valor
2004-08-03 00:00:00|411.0
2004-08-04 00:00:00|182.5
2004-08-05 00:00:00|160.0
2004-08-06 00:00:00|137.4
2004-08-07 00:00:00|143.0
2004-08-08 00:00:00|135.5
2004-08-09 00:00:00|158.0
2004-08-10 00:00:00|372.5
2004-08-11 00:00:00|527.8
2004-08-12 00:00:00|465.1
2004-08-13 00:00:00|517.0
2004-08-14 00:00:00|545.3
2004-08-15 00:00:00|533.8
2004-08-16 00:00:00|508.6
2004-08-17 00:00:00|523.0
2004-08-18 00:00:00|506.8
2004-08-19 00:00:00|526.4
2004-08-20 00:00:00|518.5
2004-08-21 00:00:00|498.2
2004-08-22 00:00:00|308.4
2004-08-23 00:00:00|190.0
2004-08-24 00:00:00|402.5
2004-08-25 00:00:00|521.2
2004-08-26 00:00:00|505.0
2004-08-27 00:00:00|558.0
2004-08-28 00:00:00|357.5
2004-08-29 00:00:00|182.5
2004-08-30 00:00:00|160.0
2004-08-31 00:00:00|160.0
2004-09-01 00:00:00|257.5
2004-09-02 00:00:00|396.6
2004-09-03 00:00:00|514.0
2004-09-04 00:00:00|576.8
2004-09-05 00:00:00|558.0
2004-09-06 00:00:00|592.5
2004-09-07 00:00:00|582.0
2004-09-08 00:00:00|606.5
2004-09-09 00:00:00|571.6
2004-09-10 00:00:00|553.8
2004-09-11 00:00:00|583.0
2004-09-12 00:00:00|598.6
2004-09-13 00:00:00|573.3
2004-09-14 00:00:00|617.0
2004-09-15 00:00:00|606.5
2004-09-16 00:00:00|594.3
2004-09-17 00:00:00|620.5
2004-09-18 00:00:00|660.0
2004-09-19 00:00:00|420.4
2004-09-20 00:00:00|253.0
2004-09-21 00:00:00|229.8
2004-09-22 00:00:00|217.4
2004-09-23 00:00:00|229.8
2004-09-24 00:00:00|221.5
2004-09-25 00:00:00|292.0
2004-09-26 00:00:00|291.3
2004-09-27 00:00:00|267.2
2004-09-28 00:00:00|338.6
2004-09-29 00:00:00|330.3
2004-09-30 00:00:00|372.5
2004-10-01 00:00:00|381.0
2004-10-02 00:00:00|351.1
2004-10-03 00:00:00|331.5
2004-10-04 00:00:00|280.8
2004-10-05 00:00:00|259.0
2004-10-06 00:00:00|289.8
2004-10-07 00:00:00|305.8
2004-10-08 00:00:00|359.9
2004-10-09 00:00:00|528.1
2004-10-10 00:00:00|484.5
2004-10-11 00:00:00|457.6
2004-10-12 00:00:00|522.1
2004-10-13 00:00:00|547.8
2004-10-14 00:00:00|466.9
2004-10-15 00:00:00|463.2
2004-10-16 00:00:00|438.1
2004-10-17 00:00:00|245.5
2004-10-18 00:00:00|234.7
2004-10-19 00:00:00|226.4
2004-10-20 00:00:00|217.4
2004-10-21 00:00:00|245.1
2004-10-22 00:00:00|250.0
2004-10-23 00:00:00|217.4
2004-10-24 00:00:00|205.3
2004-10-25 00:00:00|488.3
2004-10-26 00:00:00|666.0
2004-10-27 00:00:00|569.3
2004-10-28 00:00:00|358.4
2004-10-29 00:00:00|253.0
2004-10-30 00:00:00|238.4
2004-10-31 00:00:00|213.3
2004-11-01 00:00:00|490.9
2004-11-02 00:00:00|654.3
2004-11-03 00:00:00|502.8
2004-11-04 00:00:00|217.4
2004-11-05 00:00:00|346.0
2004-11-06 00:00:00|395.8
2004-11-07 00:00:00|466.8
2004-11-08 00:00:00|538.3
2004-11-09 00:00:00|566.5
2004-11-10 00:00:00|564.0
2004-11-11 00:00:00|552.0
2004-11-12 00:00:00|560.5
2004-11-13 00:00:00|665.0
2004-11-14 00:00:00|606.5
2004-11-15 00:00:00|639.6
2004-11-16 00:00:00|601.3
2004-11-17 00:00:00|378.0
2004-11-18 00:00:00|225.6
2004-11-19 00:00:00|196.0
2004-11-20 00:00:00|209.1
2004-11-21 00:00:00|210.8
2004-11-22 00:00:00|452.0
2004-11-23 00:00:00|562.3
2004-11-24 00:00:00|523.0
2004-11-25 00:00:00|342.0
2004-11-26 00:00:00|205.3
2004-11-27 00:00:00|191.4
2004-11-28 00:00:00|155.3
2004-11-29 00:00:00|144.9
2004-11-30 00:00:00|139.3
2004-12-01 00:00:00|139.3
2004-12-02 00:00:00|302.5
2004-12-03 00:00:00|285.2
2004-12-04 00:00:00|331.5
2004-12-05 00:00:00|287.4
2004-12-06 00:00:00|149.6
2004-12-07 00:00:00|347.9
2004-12-08 00:00:00|544.9
2004-12-09 00:00:00|321.2
2004-12-10 00:00:00|156.8
2004-12-11 00:00:00|157.8
2004-12-12 00:00:00|347.9
2004-12-13 00:00:00|492.6
2004-12-14 00:00:00|501.9
2004-12-15 00:00:00|457.7
2004-12-16 00:00:00|276.1
2004-12-17 00:00:00|156.7
2004-12-18 00:00:00|307.4
2004-12-19 00:00:00|436.7
2004-12-20 00:00:00|474.5
2004-12-21 00:00:00|305.0
2004-12-22 00:00:00|215.2
2004-12-23 00:00:00|137.4
2004-12-24 00:00:00|119.3
2004-12-25 00:00:00|108.9
2004-12-26 00:00:00|107.0
2004-12-27 00:00:00|107.0
2004-12-28 00:00:00|279.8
2004-12-29 00:00:00|437.4
2004-12-30 00:00:00|264.2
2004-12-31 00:00:00|116.5
2005-01-01 00:00:00|381.8
2005-01-02 00:00:00|291.7
2005-01-03 00:00:00|111.8
2005-01-04 00:00:00|107.0
2005-01-05 00:00:00|107.0
2005-01-06 00:00:00|107.0
2005-01-07 00:00:00|99.75
2005-01-08 00:00:00|92.5
2005-01-09 00:00:00|92.5
2005-01-10 00:00:00|92.5
2005-01-11 00:00:00|102.7
2005-01-12 00:00:00|113.7
2005-01-13 00:00:00|110.8
2005-01-14 00:00:00|101.2
2005-01-15 00:00:00|92.5
2005-01-16 00:00:00|92.5
2005-01-17 00:00:00|92.5
2005-01-18 00:00:00|92.5
2005-01-19 00:00:00|250.1
2005-01-20 00:00:00|505.1
2005-01-21 00:00:00|586.7
2005-01-22 00:00:00|602.3
2005-01-23 00:00:00|528.6
2005-01-24 00:00:00|538.6
2005-01-25 00:00:00|320.5
2005-01-26 00:00:00|148.8
2005-01-27 00:00:00|135.5
2005-01-28 00:00:00|132.6
2005-01-29 00:00:00|107.0
2005-01-30 00:00:00|103.4
2005-01-31 00:00:00|97.57
2005-02-01 00:00:00|89.6
2005-02-02 00:00:00|85.25
2005-02-03 00:00:00|83.07
2005-02-04 00:00:00|86.7
2005-02-05 00:00:00|85.97
2005-02-06 00:00:00|82.35
2005-02-07 00:00:00|86.7
2005-02-08 00:00:00|85.25
2005-02-09 00:00:00|335.2
2005-02-10 00:00:00|460.5
2005-02-11 00:00:00|527.2
2005-02-12 00:00:00|310.9
2005-02-13 00:00:00|139.3
2005-02-14 00:00:00|103.4
2005-02-15 00:00:00|350.8
2005-02-16 00:00:00|567.4
2005-02-17 00:00:00|323.8
2005-02-18 00:00:00|425.5
2005-02-19 00:00:00|327.8
2005-02-20 00:00:00|425.5
2005-02-21 00:00:00|332.4
2005-02-22 00:00:00|441.3
2005-02-23 00:00:00|346.5
2005-02-24 00:00:00|375.7
2005-02-25 00:00:00|381.4
2005-02-26 00:00:00|438.9
2005-02-27 00:00:00|338.2
2005-02-28 00:00:00|347.4
2005-03-01 00:00:00|443.5
2005-03-02 00:00:00|488.0
2005-03-03 00:00:00|540.5
2005-03-04 00:00:00|355.6
2005-03-05 00:00:00|213.6
2005-03-06 00:00:00|236.5
2005-03-07 00:00:00|196.0
2005-03-08 00:00:00|130.8
2005-03-09 00:00:00|96.13
2005-03-10 00:00:00|152.5
2005-03-11 00:00:00|102.3
2005-03-12 00:00:00|78.0
2005-03-13 00:00:00|81.63
2005-03-14 00:00:00|82.35
2005-03-15 00:00:00|199.0
2005-03-16 00:00:00|266.5
2005-03-17 00:00:00|312.3
2005-03-18 00:00:00|303.9
2005-03-19 00:00:00|312.0
2005-03-20 00:00:00|321.0
2005-03-21 00:00:00|316.1
2005-03-22 00:00:00|345.5
2005-03-23 00:00:00|327.0
2005-03-24 00:00:00|346.0
2005-03-25 00:00:00|363.5
2005-03-26 00:00:00|265.5
2005-03-27 00:00:00|151.0
2005-03-28 00:00:00|280.8
2005-03-29 00:00:00|113.1
2005-03-30 00:00:00|78.85
2005-03-31 00:00:00|67.5
2005-04-01 00:00:00|75.2
2005-04-02 00:00:00|80.95
2005-04-03 00:00:00|69.6
2005-04-04 00:00:00|111.8
2005-04-05 00:00:00|107.0
2005-04-06 00:00:00|92.5
2005-04-07 00:00:00|83.85
2005-04-08 00:00:00|81.63
2005-04-09 00:00:00|85.25
2005-04-10 00:00:00|85.25
2005-04-11 00:00:00|85.25
2005-04-12 00:00:00|316.6
2005-04-13 00:00:00|512.3
2005-04-14 00:00:00|523.0
2005-04-15 00:00:00|529.3
2005-04-16 00:00:00|588.4
2005-04-17 00:00:00|583.8
2005-04-18 00:00:00|583.8
2005-04-19 00:00:00|447.4
2005-04-20 00:00:00|263.9
2005-04-21 00:00:00|347.4
2005-04-22 00:00:00|440.5
2005-04-23 00:00:00|428.6
2005-04-24 00:00:00|237.0
2005-04-25 00:00:00|466.0
2005-04-26 00:00:00|518.5
2005-04-27 00:00:00|356.3
2005-04-28 00:00:00|309.4
2005-04-29 00:00:00|380.5
2005-04-30 00:00:00|264.9
2005-05-01 00:00:00|197.5
2005-05-02 00:00:00|154.3
2005-05-03 00:00:00|145.0
2005-05-04 00:00:00|126.0
2005-05-05 00:00:00|92.5
2005-05-06 00:00:00|88.88
2005-05-07 00:00:00|126.0
2005-05-08 00:00:00|104.5
2005-05-09 00:00:00|92.5
2005-05-10 00:00:00|81.63
2005-05-11 00:00:00|78.0
2005-05-12 00:00:00|118.8
2005-05-13 00:00:00|299.8
2005-05-14 00:00:00|514.5
2005-05-15 00:00:00|626.1
2005-05-16 00:00:00|553.8
2005-05-17 00:00:00|610.0
2005-05-18 00:00:00|756.8
2005-05-19 00:00:00|637.5
2005-05-20 00:00:00|641.9
2005-05-21 00:00:00|671.0
2005-05-22 00:00:00|677.0
2005-05-23 00:00:00|675.0
2005-05-24 00:00:00|698.1
2005-05-25 00:00:00|670.0
2005-05-26 00:00:00|638.8
2005-05-27 00:00:00|623.1
2005-05-28 00:00:00|596.0
2005-05-29 00:00:00|624.9
2005-05-30 00:00:00|576.0
2005-05-31 00:00:00|598.6
2005-06-01 00:00:00|549.5
2005-06-02 00:00:00|532.0
2005-06-03 00:00:00|554.6
2005-06-04 00:00:00|562.3
2005-06-05 00:00:00|584.0
2005-06-06 00:00:00|566.5
2005-06-07 00:00:00|500.8
2005-06-08 00:00:00|496.5
2005-06-09 00:00:00|496.5
2005-06-10 00:00:00|557.6
2005-06-11 00:00:00|743.9
2005-06-12 00:00:00|596.0
2005-06-13 00:00:00|588.5
2005-06-14 00:00:00|658.0
2005-06-15 00:00:00|669.0
2005-06-16 00:00:00|548.8
2005-06-17 00:00:00|512.2
2005-06-18 00:00:00|529.3
2005-06-19 00:00:00|377.9
2005-06-20 00:00:00|245.5
2005-06-21 00:00:00|270.0
2005-06-22 00:00:00|418.8
2005-06-23 00:00:00|505.5
2005-06-24 00:00:00|514.0
2005-06-25 00:00:00|673.8
2005-06-26 00:00:00|718.3
2005-06-27 00:00:00|676.8
2005-06-28 00:00:00|751.5
2005-06-29 00:00:00|746.3
2005-06-30 00:00:00|751.5
2005-07-01 00:00:00|728.4
2005-07-02 00:00:00|708.6
2005-07-03 00:00:00|678.3
2005-07-04 00:00:00|673.0
2005-07-05 00:00:00|622.3
2005-07-06 00:00:00|649.3
2005-07-07 00:00:00|775.5
2005-07-08 00:00:00|732.3
2005-07-09 00:00:00|690.3
2005-07-10 00:00:00|465.9
2005-07-11 00:00:00|314.5
2005-07-12 00:00:00|268.0
2005-07-13 00:00:00|522.0
2005-07-14 00:00:00|660.0
2005-07-15 00:00:00|621.4
2005-07-16 00:00:00|692.5
2005-07-17 00:00:00|660.6
2005-07-18 00:00:00|614.4
2005-07-19 00:00:00|644.3
2005-07-20 00:00:00|627.5
2005-07-21 00:00:00|624.0
2005-07-22 00:00:00|661.0
2005-07-23 00:00:00|690.3
2005-07-24 00:00:00|476.0
2005-07-25 00:00:00|314.5
2005-07-26 00:00:00|513.3
2005-07-27 00:00:00|610.0
2005-07-28 00:00:00|629.3
2005-07-29 00:00:00|610.0
2005-07-30 00:00:00|623.1
2005-07-31 00:00:00|670.0
2005-08-01 00:00:00|601.3
2005-08-02 00:00:00|641.3
2005-08-03 00:00:00|597.8
2005-08-04 00:00:00|610.0
2005-08-05 00:00:00|637.1
2005-08-06 00:00:00|618.8
2005-08-07 00:00:00|601.3
2005-08-08 00:00:00|596.9
2005-08-09 00:00:00|627.5
2005-08-10 00:00:00|618.8
2005-08-11 00:00:00|596.9
2005-08-12 00:00:00|417.0
2005-08-13 00:00:00|268.0
2005-08-14 00:00:00|197.5
2005-08-15 00:00:00|205.8
2005-08-16 00:00:00|241.4
2005-08-17 00:00:00|447.1
2005-08-18 00:00:00|650.1
2005-08-19 00:00:00|805.3
2005-08-20 00:00:00|707.8
2005-08-21 00:00:00|539.2
2005-08-22 00:00:00|266.5
2005-08-23 00:00:00|429.8
2005-08-24 00:00:00|599.5
2005-08-25 00:00:00|650.0
2005-08-26 00:00:00|634.5
2005-08-27 00:00:00|653.3
2005-08-28 00:00:00|424.2
2005-08-29 00:00:00|566.3
2005-08-30 00:00:00|648.3
2005-08-31 00:00:00|631.0
2005-09-01 00:00:00|535.8
2005-09-02 00:00:00|503.8
2005-09-03 00:00:00|550.2
2005-09-04 00:00:00|564.0
2005-09-05 00:00:00|546.1
2005-09-06 00:00:00|617.9
2005-09-07 00:00:00|575.0
2005-09-08 00:00:00|396.1
2005-09-09 00:00:00|309.7
2005-09-10 00:00:00|280.8
2005-09-11 00:00:00|317.0
2005-09-12 00:00:00|367.0
2005-09-13 00:00:00|425.0
2005-09-14 00:00:00|462.3
2005-09-15 00:00:00|523.0
2005-09-16 00:00:00|572.5
2005-09-17 00:00:00|592.5
2005-09-18 00:00:00|625.8
2005-09-19 00:00:00|638.0
2005-09-20 00:00:00|702.5
2005-09-21 00:00:00|469.3
2005-09-22 00:00:00|403.5
2005-09-23 00:00:00|400.2
2005-09-24 00:00:00|474.3
2005-09-25 00:00:00|436.3
2005-09-26 00:00:00|373.6
2005-09-27 00:00:00|407.1
2005-09-28 00:00:00|486.3
2005-09-29 00:00:00|512.3
2005-09-30 00:00:00|521.2
2005-10-01 00:00:00|552.9
2005-10-02 00:00:00|507.7
2005-10-03 00:00:00|370.6
2005-10-04 00:00:00|306.5
2005-10-05 00:00:00|538.3
2005-10-06 00:00:00|561.4
2005-10-07 00:00:00|547.7
2005-10-08 00:00:00|651.9
2005-10-09 00:00:00|732.6
2005-10-10 00:00:00|610.0
2005-10-11 00:00:00|649.3
2005-10-12 00:00:00|706.0
2005-10-13 00:00:00|615.0
2005-10-14 00:00:00|632.5
2005-10-15 00:00:00|679.8
2005-10-16 00:00:00|436.1
2005-10-17 00:00:00|229.8
2005-10-18 00:00:00|194.1
2005-10-19 00:00:00|518.3
2005-10-20 00:00:00|672.0
2005-10-21 00:00:00|622.3
2005-10-22 00:00:00|604.8
2005-10-23 00:00:00|590.8
2005-10-24 00:00:00|590.8
2005-10-25 00:00:00|507.7
2005-10-26 00:00:00|439.5
2005-10-27 00:00:00|516.2
2005-10-28 00:00:00|459.9
2005-10-29 00:00:00|608.2
2005-10-30 00:00:00|518.5
2005-10-31 00:00:00|513.7
2005-11-01 00:00:00|678.1
2005-11-02 00:00:00|495.4
2005-11-03 00:00:00|331.5
2005-11-04 00:00:00|495.5
2005-11-05 00:00:00|666.8
2005-11-06 00:00:00|620.5
2005-11-07 00:00:00|654.5
2005-11-08 00:00:00|707.8
2005-11-09 00:00:00|457.1
2005-11-10 00:00:00|313.4
2005-11-11 00:00:00|258.3
2005-11-12 00:00:00|564.8
2005-11-13 00:00:00|707.8
2005-11-14 00:00:00|693.8
2005-11-15 00:00:00|667.0
2005-11-16 00:00:00|435.0
2005-11-17 00:00:00|275.7
2005-11-18 00:00:00|448.4
2005-11-19 00:00:00|652.8
2005-11-20 00:00:00|617.0
2005-11-21 00:00:00|559.7
2005-11-22 00:00:00|404.9
2005-11-23 00:00:00|277.8
2005-11-24 00:00:00|205.8
2005-11-25 00:00:00|213.3
2005-11-26 00:00:00|378.0
2005-11-27 00:00:00|407.6
2005-11-28 00:00:00|296.9
2005-11-29 00:00:00|341.2
2005-11-30 00:00:00|354.8
2005-12-01 00:00:00|470.3
2005-12-02 00:00:00|584.0
2005-12-03 00:00:00|444.1
2005-12-04 00:00:00|411.5
2005-12-05 00:00:00|493.4
2005-12-06 00:00:00|403.8
2005-12-07 00:00:00|309.7
2005-12-08 00:00:00|328.3
2005-12-09 00:00:00|417.8
2005-12-10 00:00:00|352.2
2005-12-11 00:00:00|268.5
2005-12-12 00:00:00|271.7
2005-12-13 00:00:00|241.4
2005-12-14 00:00:00|269.0
2005-12-15 00:00:00|179.5
2005-12-16 00:00:00|223.0
2005-12-17 00:00:00|310.2
2005-12-18 00:00:00|355.0
2005-12-19 00:00:00|365.2
2005-12-20 00:00:00|299.0
2005-12-21 00:00:00|268.3
2005-12-22 00:00:00|149.5
2005-12-23 00:00:00|130.8
2005-12-24 00:00:00|126.0
2005-12-25 00:00:00|107.0
2005-12-26 00:00:00|92.5
2005-12-27 00:00:00|96.13
2005-12-28 00:00:00|96.13
2005-12-29 00:00:00|92.5
2005-12-30 00:00:00|85.25
2005-12-31 00:00:00|81.63
2006-01-01 00:00:00|81.63
2006-01-02 00:00:00|81.63
2006-01-03 00:00:00|78.0
